Experiment,Source,Main change,Best/Test Accuracy,Delta vs Source,Params,Binary Ops / MAC-equivalent,Bias precision,Activation precision,Accumulator precision,Training/Fine-tune,Status,Decision,Evaluation split,Evidence
FP32 ResNet20,prior baseline,full precision reference,91.06,,,NOT FOUND,FP32,FP32,FP32,prior run,HISTORICAL,context only; no current workspace result artifact,reported TEST; artifact NOT FOUND,PROMPT_CODEX_R1_R2_R3.md
Minimal W1A1,prior baseline,minimal binary model,72.6,,,NOT FOUND,unknown,W1A1,unknown,prior run,HISTORICAL,accuracy too low for selected line,reported TEST; artifact NOT FOUND,PROMPT_CODEX_R1_R2_R3.md
Early ReCU failed adaptation,prior adaptation,non-official ReCU adaptation,43.29,,,NOT FOUND,unknown,unknown,unknown,prior run,HISTORICAL,exclude from official reproduction comparison,reported TEST; artifact NOT FOUND,PROMPT_CODEX_R1_R2_R3.md
Early SiMaN failed adaptation,prior adaptation,non-official SiMaN adaptation,,,,NOT FOUND,unknown,unknown,unknown,prior run,HISTORICAL,numeric result NOT FOUND,NOT FOUND,PROMPT_CODEX_R1_R2_R3.md
Official ReCU,scratch,official ReCU 600-epoch reproduction,87.28,,270858,"40,108,032 binary-conv terms; 442,368 FP stem products; 640 FP FC products",FP BN/FC,W1A1 backbone; FP stem,not finite-width,600 epochs from scratch,SELECTED,reproduced official architecture; source for R1–R3,CIFAR-10 official TEST,R1_R2_R3_FINAL_REPORT.md; experiments/recu_runs/...234802/history.json
H1 QRPReLU scratch,scratch,PReLU to QRPReLU,84.28,,271530,"40,108,032 binary-conv terms; 442,368 FP stem products; 640 FP FC products",FP,W1A1 backbone; FP stem,not finite-width,600 epochs from scratch,ABLATION,inferior to warm-start R2,CIFAR-10 official TEST,experiments/recu_runs/...235444/history.json
H2 QRPReLU + pow2 alpha scratch,scratch,QRPReLU and pow2 alpha,84.6,,271530,"40,108,032 binary-conv terms; 442,368 FP stem products; 640 FP FC products",FP,W1A1 backbone; FP stem,not finite-width,600 epochs from scratch,ABLATION,historical hardware-aware scratch result,CIFAR-10 official TEST,experiments/recu_runs/...235445/history.json
R1 Remove alpha,Official ReCU,alpha=1,87.02,-0.26,270186,"40,108,032 binary-conv terms; 442,368 FP stem products; 640 FP FC products",FP,W1A1 backbone; FP stem,not finite-width,100-epoch warm-start,ABLATION,recoverable after fine-tuning; no zero-shot conversion,CIFAR-10 official TEST,R1_R2_R3_FINAL_REPORT.md; r1_summary.json
R2 Warm-start QRPReLU,Official ReCU,warm-start PReLU to QRPReLU,86.72,-0.56,271530,"40,108,032 binary-conv terms; 442,368 FP stem products; 640 FP FC products",FP,W1A1 backbone; FP stem,not finite-width,100-epoch warm-start,SELECTED,QRPReLU source for R4,CIFAR-10 official TEST,R1_R2_R3_FINAL_REPORT.md; r2_summary.json
R3 Fused pow2 affine,Official ReCU,fold alpha+BN and quantize K,85.5,-1.78,270186,"40,108,032 binary-conv terms; 442,368 FP stem products; 640 FP FC products",FP,W1A1 backbone; FP stem,not finite-width,100-epoch warm-start,ABLATION,validated float fold and signed-pow2 branch,CIFAR-10 official TEST,R1_R2_R3_FINAL_REPORT.md; r3_summary.json
R4 Multiplier-free backbone,R2,fused signed-pow2 alpha/BN,86.11,-0.61,270858,"40,108,032 binary-conv terms; 442,368 FP stem products; 640 FP FC products",FP,W1A1 backbone; FP stem,not finite-width,100-epoch warm-start,SELECTED,hardware-friendly backbone source,CIFAR-10 official TEST,R4_FINAL_REPORT.md; r4_summary.json
R5 Naive W1A8 stem,R4,3-channel W1A8 stem,83.77,-2.34,270858,"40,108,032 binary-conv terms; 442,368 W1A8 select/negate stem terms; 640 FP FC products",FP,W1A8 stem; W1A1 backbone,not finite-width,100-epoch fine-tune,REJECTED,below 84.5% go/no-go,CIFAR-10 official TEST,R5_FINAL_REPORT.md; r5_summary.json
